accession,taxon_1,taxon_2,taxon_3,taxon_4,taxon_5,taxon_6,taxon_7,taxon_8,taxon_9,taxon_10,name,source,env_material,env_biome,biotic_relationship,specific_host,host_name,geo_loc_name,publication,authors,journal,organism_gb,clone_gb ,environment_gb,host_gb,country_gb,publication_gb,authors_gb,journal_gb
JQ356770.1,Eukaryota,Excavata,Discoba,Euglenozoa,Euglenida,Euglenophyceae,Euglenea,Euglenaceae,Cryptoglena,Cryptoglena skujae,Cryptoglena skujai Darinun060709E,culture,pond water (ENVO:00002228),pond (ENVO:00000033),free-living,NA,NA,Korea: Jeju: Daejeong: Boseung,Genetic diversity and systematics of the genus Cryptoglena (Euglenaceae) based on molecular and morphological characters,"Kim,J.I. and Shin,W.",Unpublished,Cryptoglena skujai,NA,NA,NA,NA,Genetic diversity and systematics of the genus Cryptoglena (Euglenaceae) based on molecular and morphological characters,"Kim,J.I. and Shin,W.",Unpublished
JQ356771.1,Eukaryota,Excavata,Discoba,Euglenozoa,Euglenida,Euglenophyceae,Euglenea,Euglenaceae,Cryptoglena,Cryptoglena skujae,Cryptoglena skujai Jakeun081409B,culture,pond water (ENVO:00002228),pond (ENVO:00000033),free-living,NA,NA,Korea: Chungnam: Taean: Anmyeon,Genetic diversity and systematics of the genus Cryptoglena (Euglenaceae) based on molecular and morphological characters,"Kim,J.I. and Shin,W.",Unpublished,Cryptoglena skujai,NA,NA,NA,NA,Genetic diversity and systematics of the genus Cryptoglena (Euglenaceae) based on molecular and morphological characters,"Kim,J.I. and Shin,W.",Unpublished
JQ356772.1,Eukaryota,Excavata,Discoba,Euglenozoa,Euglenida,Euglenophyceae,Euglenea,Euglenaceae,Cryptoglena,Cryptoglena skujae,Cryptoglena skujai NIES387,culture,pond water (ENVO:00002228),pond (ENVO:00000033),free-living,NA,NA,Japan: Chiba: Kashiwa,Genetic diversity and systematics of the genus Cryptoglena (Euglenaceae) based on molecular and morphological characters,"Kim,J.I. and Shin,W.",Unpublished,Cryptoglena skujai,NA,NA,NA,NA,Genetic diversity and systematics of the genus Cryptoglena (Euglenaceae) based on molecular and morphological characters,"Kim,J.I. and Shin,W.",Unpublished
JQ356773.1,Eukaryota,Excavata,Discoba,Euglenozoa,Euglenida,Euglenophyceae,Euglenea,Euglenaceae,Cryptoglena,Cryptoglena skujae,Cryptoglena skujai Songdang060709I,culture,pond water (ENVO:00002228),pond (ENVO:00000033),free-living,NA,NA,Korea: Jeju: Daejeong: Mureung,Genetic diversity and systematics of the genus Cryptoglena (Euglenaceae) based on molecular and morphological characters,"Kim,J.I. and Shin,W.",Unpublished,Cryptoglena skujai,NA,NA,NA,NA,Genetic diversity and systematics of the genus Cryptoglena (Euglenaceae) based on molecular and morphological characters,"Kim,J.I. and Shin,W.",Unpublished
JQ356774.1,Eukaryota,Excavata,Discoba,Euglenozoa,Euglenida,Euglenophyceae,Euglenea,Euglenaceae,Cryptoglena,Cryptoglena skujae,Cryptoglena skujai Yeonjeongji092609A,culture,pond water (ENVO:00002228),pond (ENVO:00000033),free-living,NA,NA,Korea: Jeonnam: Jeongeup: Sintaein: Yeonjeongri,Genetic diversity and systematics of the genus Cryptoglena (Euglenaceae) based on molecular and morphological characters,"Kim,J.I. and Shin,W.",Unpublished,Cryptoglena skujai,NA,NA,NA,NA,Genetic diversity and systematics of the genus Cryptoglena (Euglenaceae) based on molecular and morphological characters,"Kim,J.I. and Shin,W.",Unpublished
JQ356775.1,Eukaryota,Excavata,Discoba,Euglenozoa,Euglenida,Euglenophyceae,Euglenea,Euglenaceae,Cryptoglena,Cryptoglena skujae,Cryptoglena skujai Yeonhwaji060709H,culture,pond water (ENVO:00002228),pond (ENVO:00000033),free-living,NA,NA,Korea: Jeju: Aewol,Genetic diversity and systematics of the genus Cryptoglena (Euglenaceae) based on molecular and morphological characters,"Kim,J.I. and Shin,W.",Unpublished,Cryptoglena skujai,NA,NA,NA,NA,Genetic diversity and systematics of the genus Cryptoglena (Euglenaceae) based on molecular and morphological characters,"Kim,J.I. and Shin,W.",Unpublished
JQ356776.1,Eukaryota,Excavata,Discoba,Euglenozoa,Euglenida,Euglenophyceae,Euglenea,Euglenaceae,Cryptoglena,Cryptoglena skujae,Cryptoglena skujai Yeonhwaji091109K,culture,pond water (ENVO:00002228),pond (ENVO:00000033),free-living,NA,NA,Korea: Jeju: Aewol,Genetic diversity and systematics of the genus Cryptoglena (Euglenaceae) based on molecular and morphological characters,"Kim,J.I. and Shin,W.",Unpublished,Cryptoglena skujai,NA,NA,NA,NA,Genetic diversity and systematics of the genus Cryptoglena (Euglenaceae) based on molecular and morphological characters,"Kim,J.I. and Shin,W.",Unpublished
JQ356777.1,Eukaryota,Excavata,Discoba,Euglenozoa,Euglenida,Euglenophyceae,Euglenea,Euglenaceae,Cryptoglena,Cryptoglena skujae,Cryptoglena skujai Yeonhwaji091109N,culture,pond water (ENVO:00002228),pond (ENVO:00000033),free-living,NA,NA,Korea: Jeju: Aewol,Genetic diversity and systematics of the genus Cryptoglena (Euglenaceae) based on molecular and morphological characters,"Kim,J.I. and Shin,W.",Unpublished,Cryptoglena skujai,NA,NA,NA,NA,Genetic diversity and systematics of the genus Cryptoglena (Euglenaceae) based on molecular and morphological characters,"Kim,J.I. and Shin,W.",Unpublished
JQ356778.1,Eukaryota,Excavata,Discoba,Euglenozoa,Euglenida,Euglenophyceae,Euglenea,Euglenaceae,Cryptoglena,Cryptoglena soropigra,Cryptoglena sp. Cheongsan052507B,culture,pond water (ENVO:00002228),pond (ENVO:00000033),free-living,NA,NA,Korea: Chungnam: Taean: Nammyeon,Genetic diversity and systematics of the genus Cryptoglena (Euglenaceae) based on molecular and morphological characters,"Kim,J.I. and Shin,W.",Unpublished,Cryptoglena sp. 3 JIK-2012,NA,NA,NA,NA,Genetic diversity and systematics of the genus Cryptoglena (Euglenaceae) based on molecular and morphological characters,"Kim,J.I. and Shin,W.",Unpublished
JQ356779.1,Eukaryota,Excavata,Discoba,Euglenozoa,Euglenida,Euglenophyceae,Euglenea,Euglenaceae,Cryptoglena,Cryptoglena soropigra,Cryptoglena sp. FRC112909C,culture,pond water (ENVO:00002228),pond (ENVO:00000033),free-living,NA,NA,Philippines: Manila: Las Banos: Fish Research Center,Genetic diversity and systematics of the genus Cryptoglena (Euglenaceae) based on molecular and morphological characters,"Kim,J.I. and Shin,W.",Unpublished,Cryptoglena sp. 3 JIK-2012,NA,NA,NA,NA,Genetic diversity and systematics of the genus Cryptoglena (Euglenaceae) based on molecular and morphological characters,"Kim,J.I. and Shin,W.",Unpublished
JQ356780.1,Eukaryota,Excavata,Discoba,Euglenozoa,Euglenida,Euglenophyceae,Euglenea,Euglenaceae,Cryptoglena,Cryptoglena soropigra,Cryptoglena sp. Sumoon111409A,culture,pond water (ENVO:00002228),pond (ENVO:00000033),free-living,NA,NA,Korea: Jeonnam: Muan: Haejae,Genetic diversity and systematics of the genus Cryptoglena (Euglenaceae) based on molecular and morphological characters,"Kim,J.I. and Shin,W.",Unpublished,Cryptoglena sp. 3 JIK-2012,NA,NA,NA,NA,Genetic diversity and systematics of the genus Cryptoglena (Euglenaceae) based on molecular and morphological characters,"Kim,J.I. and Shin,W.",Unpublished
JQ398651.1,Eukaryota,Excavata,Discoba,Euglenozoa,Euglenida,Euglenophyceae,Euglenea,Euglenaceae,Euglena,Euglena agilis,Euglena agilis ACOI 1232,culture,pond water (ENVO:00002228),pond (ENVO:00000033),free-living,NA,NA,Portugal: Quiaios: Lagoa das Bracas,Phylogenetic relationships and character evolution of photosynthetic euglenoids (Euglenea) inferred from taxon-rich analyses of five genes,"Karnkowska-Ishikawa,A., Watza,D., Bennett,M.S., Zakrys,B. and Triemer,R.E.",Unpublished,Euglena agilis,NA,NA,NA,NA,Phylogenetic relationships and character evolution of photosynthetic euglenoids (Euglenea) inferred from taxon-rich analyses of five genes,"Karnkowska-Ishikawa,A., Watza,D., Bennett,M.S., Zakrys,B. and Triemer,R.E.",Unpublished
JQ681752.1,Eukaryota,Excavata,Discoba,Euglenozoa,Euglenida,Euglenophyceae,Euglenea,Phacaceae,Lepocinclis,Lepocinclis cyclidiopsis,Cyclidiopsis acus ,isolate,pond water (ENVO:00002228),pond (ENVO:00000033),free-living,NA,NA,USA: Michigan: Okemos,The genus cyclidiopsis: an obituary,"Bennett,M.S. and Triemer,R.E.","J. Eukaryot. Microbiol. 61 (2), 166-172 (2014)",Cyclidiopsis acus,NA,NA,NA,NA,The genus cyclidiopsis: an obituary,"Bennett,M.S. and Triemer,R.E.","J. Eukaryot. Microbiol. 61 (2), 166-172 (2014)"
JQ691737.1,Eukaryota,Excavata,Discoba,Euglenozoa,Euglenida,Euglenophyceae,Euglenea,Euglenaceae,Euglenaria,Euglenaria clepsydroides,Euglenaria sp. CCAC 3452,culture,pond water (ENVO:00002228),pond (ENVO:00000033),free-living,NA,NA,Poland: Masurian Lake District: Urwitalt,New green euglenoid isolated from Poland: Euglenaria clepsydroides sp. nova (Euglenida),"Zakrys,B., Karnkowska-Ishikawa,A., Lukomska-Kowalczyk,M. and Milanowski,R.",Unpublished,Euglenaria sp. AKI-2012,NA,NA,NA,NA,New green euglenoid isolated from Poland: Euglenaria clepsydroides sp. nova (Euglenida),"Zakrys,B., Karnkowska-Ishikawa,A., Lukomska-Kowalczyk,M. and Milanowski,R.",Unpublished
JX068888.1,Eukaryota,Excavata,Discoba,Euglenozoa,Euglenida,Petalomonadida,Eupetalomonads,Petalomonas,Petalomonas,Petalomonas cantuscygni,Winter_08 ,environmental,fresh water (ENVO:00002011),freshwater river biome (ENVO:01000253),free-living,NA,NA,Canada: Alberta: Oldman River watershed,Seasonal Diversity of Planktonic Protists in Southwestern Alberta Rivers over a 1-Year Period as Revealed by Terminal Restriction Fragment Length Polymorphism and 18S rRNA Gene Library Analyses,"Thomas,M.C., Selinger,L.B. and Inglis,G.D.","Appl. Environ. Microbiol. 78 (16), 5653-5660 (2012)",uncultured eukaryote,Winter_08,Southern Alberta river site,NA,NA,Seasonal Diversity of Planktonic Protists in Southwestern Alberta Rivers over a 1-Year Period as Revealed by Terminal Restriction Fragment Length Polymorphism and 18S rRNA Gene Library Analyses,"Thomas,M.C., Selinger,L.B. and Inglis,G.D.","Appl. Environ. Microbiol. 78 (16), 5653-5660 (2012)"
JX068893.1,Eukaryota,Excavata,Discoba,Euglenozoa,Euglenida,Petalomonadida,Eupetalomonads,Petalomonas,Petalomonas,Petalomonas cantuscygni,Winter_15 ,environmental,fresh water (ENVO:00002011),freshwater river biome (ENVO:01000253),free-living,NA,NA,Canada: Alberta: Oldman River watershed,Seasonal Diversity of Planktonic Protists in Southwestern Alberta Rivers over a 1-Year Period as Revealed by Terminal Restriction Fragment Length Polymorphism and 18S rRNA Gene Library Analyses,"Thomas,M.C., Selinger,L.B. and Inglis,G.D.","Appl. Environ. Microbiol. 78 (16), 5653-5660 (2012)",uncultured eukaryote,Winter_15,Southern Alberta river site,NA,NA,Seasonal Diversity of Planktonic Protists in Southwestern Alberta Rivers over a 1-Year Period as Revealed by Terminal Restriction Fragment Length Polymorphism and 18S rRNA Gene Library Analyses,"Thomas,M.C., Selinger,L.B. and Inglis,G.D.","Appl. Environ. Microbiol. 78 (16), 5653-5660 (2012)"
JX068902.1,Eukaryota,Excavata,Discoba,Euglenozoa,Euglenida,Petalomonadida,Eupetalomonads,Petalomonas,Petalomonas,Petalomonas cantuscygni,Winter_24 ,environmental,fresh water (ENVO:00002011),freshwater river biome (ENVO:01000253),free-living,NA,NA,Canada: Alberta: Oldman River watershed,Seasonal Diversity of Planktonic Protists in Southwestern Alberta Rivers over a 1-Year Period as Revealed by Terminal Restriction Fragment Length Polymorphism and 18S rRNA Gene Library Analyses,"Thomas,M.C., Selinger,L.B. and Inglis,G.D.","Appl. Environ. Microbiol. 78 (16), 5653-5660 (2012)",uncultured eukaryote,Winter_24,Southern Alberta river site,NA,NA,Seasonal Diversity of Planktonic Protists in Southwestern Alberta Rivers over a 1-Year Period as Revealed by Terminal Restriction Fragment Length Polymorphism and 18S rRNA Gene Library Analyses,"Thomas,M.C., Selinger,L.B. and Inglis,G.D.","Appl. Environ. Microbiol. 78 (16), 5653-5660 (2012)"
JX068903.1,Eukaryota,Excavata,Discoba,Euglenozoa,Euglenida,Petalomonadida,Eupetalomonads,Eupetalomonads,Eupetalomonads,Eupetalomonads,Winter_25 ,environmental,fresh water (ENVO:00002011),freshwater river biome (ENVO:01000253),free-living,NA,NA,Canada: Alberta: Oldman River watershed,Seasonal Diversity of Planktonic Protists in Southwestern Alberta Rivers over a 1-Year Period as Revealed by Terminal Restriction Fragment Length Polymorphism and 18S rRNA Gene Library Analyses,"Thomas,M.C., Selinger,L.B. and Inglis,G.D.","Appl. Environ. Microbiol. 78 (16), 5653-5660 (2012)",uncultured eukaryote,Winter_25,Southern Alberta river site,NA,NA,Seasonal Diversity of Planktonic Protists in Southwestern Alberta Rivers over a 1-Year Period as Revealed by Terminal Restriction Fragment Length Polymorphism and 18S rRNA Gene Library Analyses,"Thomas,M.C., Selinger,L.B. and Inglis,G.D.","Appl. Environ. Microbiol. 78 (16), 5653-5660 (2012)"
JX068912.1,Eukaryota,Excavata,Discoba,Euglenozoa,Euglenida,Petalomonadida,Eupetalomonads,Petalomonas,Petalomonas,Petalomonas cantuscygni,Winter_34 ,environmental,fresh water (ENVO:00002011),freshwater river biome (ENVO:01000253),free-living,NA,NA,Canada: Alberta: Oldman River watershed,Seasonal Diversity of Planktonic Protists in Southwestern Alberta Rivers over a 1-Year Period as Revealed by Terminal Restriction Fragment Length Polymorphism and 18S rRNA Gene Library Analyses,"Thomas,M.C., Selinger,L.B. and Inglis,G.D.","Appl. Environ. Microbiol. 78 (16), 5653-5660 (2012)",uncultured eukaryote,Winter_34,Southern Alberta river site,NA,NA,Seasonal Diversity of Planktonic Protists in Southwestern Alberta Rivers over a 1-Year Period as Revealed by Terminal Restriction Fragment Length Polymorphism and 18S rRNA Gene Library Analyses,"Thomas,M.C., Selinger,L.B. and Inglis,G.D.","Appl. Environ. Microbiol. 78 (16), 5653-5660 (2012)"
JX068915.1,Eukaryota,Excavata,Discoba,Euglenozoa,Euglenida,Petalomonadida,Eupetalomonads,Petalomonas,Petalomonas,Petalomonas cantuscygni,Winter_37 ,environmental,fresh water (ENVO:00002011),freshwater river biome (ENVO:01000253),free-living,NA,NA,Canada: Alberta: Oldman River watershed,Seasonal Diversity of Planktonic Protists in Southwestern Alberta Rivers over a 1-Year Period as Revealed by Terminal Restriction Fragment Length Polymorphism and 18S rRNA Gene Library Analyses,"Thomas,M.C., Selinger,L.B. and Inglis,G.D.","Appl. Environ. Microbiol. 78 (16), 5653-5660 (2012)",uncultured eukaryote,Winter_37,Southern Alberta river site,NA,NA,Seasonal Diversity of Planktonic Protists in Southwestern Alberta Rivers over a 1-Year Period as Revealed by Terminal Restriction Fragment Length Polymorphism and 18S rRNA Gene Library Analyses,"Thomas,M.C., Selinger,L.B. and Inglis,G.D.","Appl. Environ. Microbiol. 78 (16), 5653-5660 (2012)"
JX068916.1,Eukaryota,Excavata,Discoba,Euglenozoa,Euglenida,Petalomonadida,Eupetalomonads,Petalomonas,Petalomonas,Petalomonas cantuscygni,Winter_38 ,environmental,fresh water (ENVO:00002011),freshwater river biome (ENVO:01000253),free-living,NA,NA,Canada: Alberta: Oldman River watershed,Seasonal Diversity of Planktonic Protists in Southwestern Alberta Rivers over a 1-Year Period as Revealed by Terminal Restriction Fragment Length Polymorphism and 18S rRNA Gene Library Analyses,"Thomas,M.C., Selinger,L.B. and Inglis,G.D.","Appl. Environ. Microbiol. 78 (16), 5653-5660 (2012)",uncultured eukaryote,Winter_38,Southern Alberta river site,NA,NA,Seasonal Diversity of Planktonic Protists in Southwestern Alberta Rivers over a 1-Year Period as Revealed by Terminal Restriction Fragment Length Polymorphism and 18S rRNA Gene Library Analyses,"Thomas,M.C., Selinger,L.B. and Inglis,G.D.","Appl. Environ. Microbiol. 78 (16), 5653-5660 (2012)"
JX068920.1,Eukaryota,Excavata,Discoba,Euglenozoa,Euglenida,Petalomonadida,Eupetalomonads,Petalomonas,Petalomonas,Petalomonas cantuscygni,Winter_42 ,environmental,fresh water (ENVO:00002011),freshwater river biome (ENVO:01000253),free-living,NA,NA,Canada: Alberta: Oldman River watershed,Seasonal Diversity of Planktonic Protists in Southwestern Alberta Rivers over a 1-Year Period as Revealed by Terminal Restriction Fragment Length Polymorphism and 18S rRNA Gene Library Analyses,"Thomas,M.C., Selinger,L.B. and Inglis,G.D.","Appl. Environ. Microbiol. 78 (16), 5653-5660 (2012)",uncultured eukaryote,Winter_42,Southern Alberta river site,NA,NA,Seasonal Diversity of Planktonic Protists in Southwestern Alberta Rivers over a 1-Year Period as Revealed by Terminal Restriction Fragment Length Polymorphism and 18S rRNA Gene Library Analyses,"Thomas,M.C., Selinger,L.B. and Inglis,G.D.","Appl. Environ. Microbiol. 78 (16), 5653-5660 (2012)"
JX068922.1,Eukaryota,Excavata,Discoba,Euglenozoa,Euglenida,Petalomonadida,Eupetalomonads,Petalomonas,Petalomonas,Petalomonas cantuscygni,Winter_44 ,environmental,fresh water (ENVO:00002011),freshwater river biome (ENVO:01000253),free-living,NA,NA,Canada: Alberta: Oldman River watershed,Seasonal Diversity of Planktonic Protists in Southwestern Alberta Rivers over a 1-Year Period as Revealed by Terminal Restriction Fragment Length Polymorphism and 18S rRNA Gene Library Analyses,"Thomas,M.C., Selinger,L.B. and Inglis,G.D.","Appl. Environ. Microbiol. 78 (16), 5653-5660 (2012)",uncultured eukaryote,Winter_44,Southern Alberta river site,NA,NA,Seasonal Diversity of Planktonic Protists in Southwestern Alberta Rivers over a 1-Year Period as Revealed by Terminal Restriction Fragment Length Polymorphism and 18S rRNA Gene Library Analyses,"Thomas,M.C., Selinger,L.B. and Inglis,G.D.","Appl. Environ. Microbiol. 78 (16), 5653-5660 (2012)"
JX068925.1,Eukaryota,Excavata,Discoba,Euglenozoa,Euglenida,Petalomonadida,Eupetalomonads,Petalomonas,Petalomonas,Petalomonas cantuscygni,Winter_47 ,environmental,fresh water (ENVO:00002011),freshwater river biome (ENVO:01000253),free-living,NA,NA,Canada: Alberta: Oldman River watershed,Seasonal Diversity of Planktonic Protists in Southwestern Alberta Rivers over a 1-Year Period as Revealed by Terminal Restriction Fragment Length Polymorphism and 18S rRNA Gene Library Analyses,"Thomas,M.C., Selinger,L.B. and Inglis,G.D.","Appl. Environ. Microbiol. 78 (16), 5653-5660 (2012)",uncultured eukaryote,Winter_47,Southern Alberta river site,NA,NA,Seasonal Diversity of Planktonic Protists in Southwestern Alberta Rivers over a 1-Year Period as Revealed by Terminal Restriction Fragment Length Polymorphism and 18S rRNA Gene Library Analyses,"Thomas,M.C., Selinger,L.B. and Inglis,G.D.","Appl. Environ. Microbiol. 78 (16), 5653-5660 (2012)"
JX069026.1,Eukaryota,Excavata,Discoba,Euglenozoa,Euglenida,Petalomonadida,Eupetalomonads,Eupetalomonads,Eupetalomonads,Eupetalomonads,Spring_02 ,environmental,fresh water (ENVO:00002011),freshwater river biome (ENVO:01000253),free-living,NA,NA,Canada: Alberta: Oldman River watershed,Seasonal Diversity of Planktonic Protists in Southwestern Alberta Rivers over a 1-Year Period as Revealed by Terminal Restriction Fragment Length Polymorphism and 18S rRNA Gene Library Analyses,"Thomas,M.C., Selinger,L.B. and Inglis,G.D.","Appl. Environ. Microbiol. 78 (16), 5653-5660 (2012)",uncultured eukaryote,Spring_02,Southern Alberta river site,NA,NA,Seasonal Diversity of Planktonic Protists in Southwestern Alberta Rivers over a 1-Year Period as Revealed by Terminal Restriction Fragment Length Polymorphism and 18S rRNA Gene Library Analyses,"Thomas,M.C., Selinger,L.B. and Inglis,G.D.","Appl. Environ. Microbiol. 78 (16), 5653-5660 (2012)"
JX069035.1,Eukaryota,Excavata,Discoba,Euglenozoa,Euglenida,Petalomonadida,Eupetalomonads,Eupetalomonads,Eupetalomonads,Eupetalomonads,Spring_14 ,environmental,fresh water (ENVO:00002011),freshwater river biome (ENVO:01000253),free-living,NA,NA,Canada: Alberta: Oldman River watershed,Seasonal Diversity of Planktonic Protists in Southwestern Alberta Rivers over a 1-Year Period as Revealed by Terminal Restriction Fragment Length Polymorphism and 18S rRNA Gene Library Analyses,"Thomas,M.C., Selinger,L.B. and Inglis,G.D.","Appl. Environ. Microbiol. 78 (16), 5653-5660 (2012)",uncultured eukaryote,Spring_14,Southern Alberta river site,NA,NA,Seasonal Diversity of Planktonic Protists in Southwestern Alberta Rivers over a 1-Year Period as Revealed by Terminal Restriction Fragment Length Polymorphism and 18S rRNA Gene Library Analyses,"Thomas,M.C., Selinger,L.B. and Inglis,G.D.","Appl. Environ. Microbiol. 78 (16), 5653-5660 (2012)"
JX069050.1,Eukaryota,Excavata,Discoba,Euglenozoa,Euglenida,Petalomonadida,Eupetalomonads,Eupetalomonads,Eupetalomonads,Eupetalomonads,Spring_30 ,environmental,fresh water (ENVO:00002011),freshwater river biome (ENVO:01000253),free-living,NA,NA,Canada: Alberta: Oldman River watershed,Seasonal Diversity of Planktonic Protists in Southwestern Alberta Rivers over a 1-Year Period as Revealed by Terminal Restriction Fragment Length Polymorphism and 18S rRNA Gene Library Analyses,"Thomas,M.C., Selinger,L.B. and Inglis,G.D.","Appl. Environ. Microbiol. 78 (16), 5653-5660 (2012)",uncultured eukaryote,Spring_30,Southern Alberta river site,NA,NA,Seasonal Diversity of Planktonic Protists in Southwestern Alberta Rivers over a 1-Year Period as Revealed by Terminal Restriction Fragment Length Polymorphism and 18S rRNA Gene Library Analyses,"Thomas,M.C., Selinger,L.B. and Inglis,G.D.","Appl. Environ. Microbiol. 78 (16), 5653-5660 (2012)"
JX069065.1,Eukaryota,Excavata,Discoba,Euglenozoa,Euglenida,Petalomonadida,Eupetalomonads,Eupetalomonads,Eupetalomonads,Eupetalomonads,Spring_54 ,environmental,fresh water (ENVO:00002011),freshwater river biome (ENVO:01000253),free-living,NA,NA,Canada: Alberta: Oldman River watershed,Seasonal Diversity of Planktonic Protists in Southwestern Alberta Rivers over a 1-Year Period as Revealed by Terminal Restriction Fragment Length Polymorphism and 18S rRNA Gene Library Analyses,"Thomas,M.C., Selinger,L.B. and Inglis,G.D.","Appl. Environ. Microbiol. 78 (16), 5653-5660 (2012)",uncultured eukaryote,Spring_54,Southern Alberta river site,NA,NA,Seasonal Diversity of Planktonic Protists in Southwestern Alberta Rivers over a 1-Year Period as Revealed by Terminal Restriction Fragment Length Polymorphism and 18S rRNA Gene Library Analyses,"Thomas,M.C., Selinger,L.B. and Inglis,G.D.","Appl. Environ. Microbiol. 78 (16), 5653-5660 (2012)"
JX069070.1,Eukaryota,Excavata,Discoba,Euglenozoa,Euglenida,Petalomonadida,Eupetalomonads,Eupetalomonads,Eupetalomonads,Eupetalomonads,Spring_61 ,environmental,fresh water (ENVO:00002011),freshwater river biome (ENVO:01000253),free-living,NA,NA,Canada: Alberta: Oldman River watershed,Seasonal Diversity of Planktonic Protists in Southwestern Alberta Rivers over a 1-Year Period as Revealed by Terminal Restriction Fragment Length Polymorphism and 18S rRNA Gene Library Analyses,"Thomas,M.C., Selinger,L.B. and Inglis,G.D.","Appl. Environ. Microbiol. 78 (16), 5653-5660 (2012)",uncultured eukaryote,Spring_61,Southern Alberta river site,NA,NA,Seasonal Diversity of Planktonic Protists in Southwestern Alberta Rivers over a 1-Year Period as Revealed by Terminal Restriction Fragment Length Polymorphism and 18S rRNA Gene Library Analyses,"Thomas,M.C., Selinger,L.B. and Inglis,G.D.","Appl. Environ. Microbiol. 78 (16), 5653-5660 (2012)"
KC440186.1,Eukaryota,Excavata,Discoba,Euglenozoa,Euglenida,Euglenophyceae,Euglenea,Euglenaceae,Euglena,Euglena,T1S101B02 ,environmental,fresh water (ENVO:00002011),freshwater lake biome (ENVO:01000252),free-living,NA,NA,Brazil: Lake Juturnaiba,Spatial and temporal variation of bacterial and microeukaryotic diversity in a Brazilian freshwater reservoir,"Froes,A.M., Nunes,G.L., Cury,J.C., Carneiro,M.T., Chagas,T.P.G., Silva,D.M., Ansensi,M.D. and Davila,A.M.R.",Unpublished,uncultured eukaryote,T1S101B02,"Juturnaiba freshwater lake, site 1",NA,Brazil,Spatial and temporal variation of bacterial and microeukaryotic diversity in a Brazilian freshwater reservoir,"Froes,A.M., Nunes,G.L., Cury,J.C., Carneiro,M.T., Chagas,T.P.G., Silva,D.M., Ansensi,M.D. and Davila,A.M.R.",Unpublished
KC440205.1,Eukaryota,Excavata,Discoba,Euglenozoa,Euglenida,Euglenophyceae,Euglenea,Euglenaceae,Euglena,Euglena stellata,T1S101C04 ,environmental,fresh water (ENVO:00002011),freshwater lake biome (ENVO:01000252),free-living,NA,NA,Brazil: Lake Juturnaiba,Spatial and temporal variation of bacterial and microeukaryotic diversity in a Brazilian freshwater reservoir,"Froes,A.M., Nunes,G.L., Cury,J.C., Carneiro,M.T., Chagas,T.P.G., Silva,D.M., Ansensi,M.D. and Davila,A.M.R.",Unpublished,uncultured eukaryote,T1S101C04,"Juturnaiba freshwater lake, site 1",NA,Brazil,Spatial and temporal variation of bacterial and microeukaryotic diversity in a Brazilian freshwater reservoir,"Froes,A.M., Nunes,G.L., Cury,J.C., Carneiro,M.T., Chagas,T.P.G., Silva,D.M., Ansensi,M.D. and Davila,A.M.R.",Unpublished
KC440659.1,Eukaryota,Excavata,Discoba,Euglenozoa,Euglenida,Euglenophyceae,Euglenophyceae,Euglenophyceae,Euglenophyceae,Euglenophyceae,T1S301B03 ,environmental,fresh water (ENVO:00002011),freshwater lake biome (ENVO:01000252),free-living,NA,NA,Brazil: Lake Juturnaiba,Spatial and temporal variation of bacterial and microeukaryotic diversity in a Brazilian freshwater reservoir,"Froes,A.M., Nunes,G.L., Cury,J.C., Carneiro,M.T., Chagas,T.P.G., Silva,D.M., Ansensi,M.D. and Davila,A.M.R.",Unpublished,uncultured eukaryote,T1S301B03,"Juturnaiba freshwater lake, site 3, winter season",NA,Brazil,Spatial and temporal variation of bacterial and microeukaryotic diversity in a Brazilian freshwater reservoir,"Froes,A.M., Nunes,G.L., Cury,J.C., Carneiro,M.T., Chagas,T.P.G., Silva,D.M., Ansensi,M.D. and Davila,A.M.R.",Unpublished
KC440698.1,Eukaryota,Excavata,Discoba,Euglenozoa,Euglenida,Euglenophyceae,Euglenophyceae,Euglenophyceae,Euglenophyceae,Euglenophyceae,T1S302A04 ,environmental,fresh water (ENVO:00002011),freshwater lake biome (ENVO:01000252),free-living,NA,NA,Brazil: Lake Juturnaiba,Spatial and temporal variation of bacterial and microeukaryotic diversity in a Brazilian freshwater reservoir,"Froes,A.M., Nunes,G.L., Cury,J.C., Carneiro,M.T., Chagas,T.P.G., Silva,D.M., Ansensi,M.D. and Davila,A.M.R.",Unpublished,uncultured eukaryote,T1S302A04,"Juturnaiba freshwater lake, site 3, winter season",NA,Brazil,Spatial and temporal variation of bacterial and microeukaryotic diversity in a Brazilian freshwater reservoir,"Froes,A.M., Nunes,G.L., Cury,J.C., Carneiro,M.T., Chagas,T.P.G., Silva,D.M., Ansensi,M.D. and Davila,A.M.R.",Unpublished
