accession,taxon_1,taxon_2,taxon_3,taxon_4,taxon_5,taxon_6,taxon_7,taxon_8,taxon_9,name,source,env_material,env_biome,biotic_relationship,specific_host,host_name,geo_loc_name,publication,authors,journal,organism_gb,clone_gb,environment_gb,host_gb,country_gb,publication_gb,authors_gb,journal_gb
AY319272,Eukaryota,Excavata,Metamonada,Parabasalia,Tritrichomonadea,Tritrichomonadida,Monocercomonadidae,Monocercomonas,Monocercomonas colubrorum,Monocercomonas colubrorum,isolate,intestine environment (ENVO:2100002),animal-associated environment (ENVO:01001002),commensal,8557,Varanus exanthematicus,Czech Republic,Critical analysis of the topology and rooting of the parabasalian 16S rRNA tree,"Hampl,V., Cepicka,I., Flegr,J., Tachezy,J. and Kulda,J.","Mol. Phylogenet. Evol. 32 (3), 711-723 (2004)",Monocercomonas colubrorum,NA,NA,Varanus exanthematicus,NA,Critical analysis of the topology and rooting of the parabasalian 16S rRNA tree,"Hampl,V., Cepicka,I., Flegr,J., Tachezy,J. and Kulda,J.","Mol. Phylogenet. Evol. 32 (3), 711-723 (2004)"
AY319276,Eukaryota,Excavata,Metamonada,Parabasalia,Tritrichomonadea,Tritrichomonadida,Monocercomonadidae,Monocercomonas,Monocercomonas colubrorum,Monocercomonas colubrorum,isolate,intestine environment (ENVO:2100002),animal-associated environment (ENVO:01001002),commensal,196474,Tropidophis melanurus,Czech Republic,Critical analysis of the topology and rooting of the parabasalian 16S rRNA tree,"Hampl,V., Cepicka,I., Flegr,J., Tachezy,J. and Kulda,J.","Mol. Phylogenet. Evol. 32 (3), 711-723 (2004)",Monocercomonas colubrorum,NA,NA,Tropidophis melanurus,NA,Critical analysis of the topology and rooting of the parabasalian 16S rRNA tree,"Hampl,V., Cepicka,I., Flegr,J., Tachezy,J. and Kulda,J.","Mol. Phylogenet. Evol. 32 (3), 711-723 (2004)"
AY319277,Eukaryota,Excavata,Metamonada,Parabasalia,Tritrichomonadea,Tritrichomonadida,Monocercomonadidae,Monocercomonas,Monocercomonas colubrorum,Monocercomonas colubrorum,isolate,intestine environment (ENVO:2100002),animal-associated environment (ENVO:01001002),commensal,102175,Teratoscincus scincus,Czech Republic,Critical analysis of the topology and rooting of the parabasalian 16S rRNA tree,"Hampl,V., Cepicka,I., Flegr,J., Tachezy,J. and Kulda,J.","Mol. Phylogenet. Evol. 32 (3), 711-723 (2004)",Monocercomonas colubrorum,NA,NA,Teratoscincus scincus,NA,Critical analysis of the topology and rooting of the parabasalian 16S rRNA tree,"Hampl,V., Cepicka,I., Flegr,J., Tachezy,J. and Kulda,J.","Mol. Phylogenet. Evol. 32 (3), 711-723 (2004)"
AY319278,Eukaryota,Excavata,Metamonada,Parabasalia,Tritrichomonadea,Tritrichomonadida,Monocercomonadidae,Monocercomonas,Monocercomonas colubrorum,Monocercomonas colubrorum,isolate,intestine environment (ENVO:2100002),animal-associated environment (ENVO:01001002),commensal,NA,NA,Czech Republic,Critical analysis of the topology and rooting of the parabasalian 16S rRNA tree,"Hampl,V., Cepicka,I., Flegr,J., Tachezy,J. and Kulda,J.","Mol. Phylogenet. Evol. 32 (3), 711-723 (2004)",Monocercomonas colubrorum,NA,NA,Eumeces sp.,NA,Critical analysis of the topology and rooting of the parabasalian 16S rRNA tree,"Hampl,V., Cepicka,I., Flegr,J., Tachezy,J. and Kulda,J.","Mol. Phylogenet. Evol. 32 (3), 711-723 (2004)"
DQ174292,Eukaryota,Excavata,Metamonada,Parabasalia,Tritrichomonadea,Tritrichomonadida,Monocercomonadidae,Monocercomonas,Monocercomonas colubrorum,Monocercomonas colubrorum,culture,intestine environment (ENVO:2100002),animal-associated environment (ENVO:01001002),commensal,8694,Bitis gabonica,Czech Republic,"Morphological and molecular diversity of the monocercomonadid genera Monocercomonas, Hexamastix, and Honigbergiella gen. nov","Hampl,V., Cepicka,I., Flegr,J., Tachezy,J. and Kulda,J.","Protist 158 (3), 365-383 (2007)",Monocercomonas colubrorum,NA,NA,Bitis gabonica,NA,"Morphological and molecular diversity of the monocercomonadid genera Monocercomonas, Hexamastix, and Honigbergiella gen. nov","Hampl,V., Cepicka,I., Flegr,J., Tachezy,J. and Kulda,J.","Protist 158 (3), 365-383 (2007)"
DQ174293,Eukaryota,Excavata,Metamonada,Parabasalia,Tritrichomonadea,Tritrichomonadida,Monocercomonadidae,Monocercomonas,Monocercomonas colubrorum,Monocercomonas colubrorum,culture,intestine environment (ENVO:2100002),animal-associated environment (ENVO:01001002),commensal,8574,Boa constrictor,Czech Republic,"Morphological and molecular diversity of the monocercomonadid genera Monocercomonas, Hexamastix, and Honigbergiella gen. nov","Hampl,V., Cepicka,I., Flegr,J., Tachezy,J. and Kulda,J.","Protist 158 (3), 365-383 (2007)",Monocercomonas colubrorum,NA,NA,Boa constrictor,NA,"Morphological and molecular diversity of the monocercomonadid genera Monocercomonas, Hexamastix, and Honigbergiella gen. nov","Hampl,V., Cepicka,I., Flegr,J., Tachezy,J. and Kulda,J.","Protist 158 (3), 365-383 (2007)"
DQ174294,Eukaryota,Excavata,Metamonada,Parabasalia,Tritrichomonadea,Tritrichomonadida,Monocercomonadidae,Monocercomonas,Monocercomonas colubrorum,Monocercomonas colubrorum,culture,intestine environment (ENVO:2100002),animal-associated environment (ENVO:01001002),commensal,8574,Boa constrictor,Czech Republic,"Morphological and molecular diversity of the monocercomonadid genera Monocercomonas, Hexamastix, and Honigbergiella gen. nov","Hampl,V., Cepicka,I., Flegr,J., Tachezy,J. and Kulda,J.","Protist 158 (3), 365-383 (2007)",Monocercomonas colubrorum,NA,NA,Boa constrictor,NA,"Morphological and molecular diversity of the monocercomonadid genera Monocercomonas, Hexamastix, and Honigbergiella gen. nov","Hampl,V., Cepicka,I., Flegr,J., Tachezy,J. and Kulda,J.","Protist 158 (3), 365-383 (2007)"
DQ174295,Eukaryota,Excavata,Metamonada,Parabasalia,Tritrichomonadea,Tritrichomonadida,Monocercomonadidae,Monocercomonas,Monocercomonas colubrorum,Monocercomonas colubrorum,culture,intestine environment (ENVO:2100002),animal-associated environment (ENVO:01001002),commensal,8574,Boa constrictor,Czech Republic,"Morphological and molecular diversity of the monocercomonadid genera Monocercomonas, Hexamastix, and Honigbergiella gen. nov","Hampl,V., Cepicka,I., Flegr,J., Tachezy,J. and Kulda,J.","Protist 158 (3), 365-383 (2007)",Monocercomonas colubrorum,NA,NA,Boa constrictor,NA,"Morphological and molecular diversity of the monocercomonadid genera Monocercomonas, Hexamastix, and Honigbergiella gen. nov","Hampl,V., Cepicka,I., Flegr,J., Tachezy,J. and Kulda,J.","Protist 158 (3), 365-383 (2007)"
DQ174296,Eukaryota,Excavata,Metamonada,Parabasalia,Tritrichomonadea,Tritrichomonadida,Monocercomonadidae,Monocercomonas,Monocercomonas colubrorum,Monocercomonas colubrorum,culture,intestine environment (ENVO:2100002),animal-associated environment (ENVO:01001002),commensal,201445,Coronella austriaca,Czech Republic,"Morphological and molecular diversity of the monocercomonadid genera Monocercomonas, Hexamastix, and Honigbergiella gen. nov","Hampl,V., Cepicka,I., Flegr,J., Tachezy,J. and Kulda,J.","Protist 158 (3), 365-383 (2007)",Monocercomonas colubrorum,NA,NA,Coronella austriaca,NA,"Morphological and molecular diversity of the monocercomonadid genera Monocercomonas, Hexamastix, and Honigbergiella gen. nov","Hampl,V., Cepicka,I., Flegr,J., Tachezy,J. and Kulda,J.","Protist 158 (3), 365-383 (2007)"
DQ174297,Eukaryota,Excavata,Metamonada,Parabasalia,Tritrichomonadea,Tritrichomonadida,Monocercomonadidae,Monocercomonas,Monocercomonas colubrorum,Monocercomonas colubrorum,culture,intestine environment (ENVO:2100002),animal-associated environment (ENVO:01001002),commensal,52184,Varanus griseus,Czech Republic,"Morphological and molecular diversity of the monocercomonadid genera Monocercomonas, Hexamastix, and Honigbergiella gen. nov","Hampl,V., Cepicka,I., Flegr,J., Tachezy,J. and Kulda,J.","Protist 158 (3), 365-383 (2007)",Monocercomonas colubrorum,NA,NA,Varanus griseus,NA,"Morphological and molecular diversity of the monocercomonadid genera Monocercomonas, Hexamastix, and Honigbergiella gen. nov","Hampl,V., Cepicka,I., Flegr,J., Tachezy,J. and Kulda,J.","Protist 158 (3), 365-383 (2007)"
DQ174298,Eukaryota,Excavata,Metamonada,Parabasalia,Tritrichomonadea,Tritrichomonadida,Monocercomonadidae,Monocercomonas,Monocercomonas colubrorum,Monocercomonas colubrorum,culture,intestine environment (ENVO:2100002),animal-associated environment (ENVO:01001002),commensal,118206,Hydrosaurus pustullatus,Czech Republic,"Morphological and molecular diversity of the monocercomonadid genera Monocercomonas, Hexamastix, and Honigbergiella gen. nov","Hampl,V., Cepicka,I., Flegr,J., Tachezy,J. and Kulda,J.","Protist 158 (3), 365-383 (2007)",Monocercomonas colubrorum,NA,NA,Hydrosaurus pustullatus,NA,"Morphological and molecular diversity of the monocercomonadid genera Monocercomonas, Hexamastix, and Honigbergiella gen. nov","Hampl,V., Cepicka,I., Flegr,J., Tachezy,J. and Kulda,J.","Protist 158 (3), 365-383 (2007)"
DQ174299,Eukaryota,Excavata,Metamonada,Parabasalia,Tritrichomonadea,Tritrichomonadida,Monocercomonadidae,Monocercomonas,Monocercomonas colubrorum,Monocercomonas colubrorum,culture,intestine environment (ENVO:2100002),animal-associated environment (ENVO:01001002),commensal,179915,Chameleo melleri,Czech Republic,"Morphological and molecular diversity of the monocercomonadid genera Monocercomonas, Hexamastix, and Honigbergiella gen. nov","Hampl,V., Cepicka,I., Flegr,J., Tachezy,J. and Kulda,J.","Protist 158 (3), 365-383 (2007)",Monocercomonas colubrorum,NA,NA,Chameleo melleri,NA,"Morphological and molecular diversity of the monocercomonadid genera Monocercomonas, Hexamastix, and Honigbergiella gen. nov","Hampl,V., Cepicka,I., Flegr,J., Tachezy,J. and Kulda,J.","Protist 158 (3), 365-383 (2007)"
DQ174300,Eukaryota,Excavata,Metamonada,Parabasalia,Tritrichomonadea,Tritrichomonadida,Monocercomonadidae,Monocercomonas,Monocercomonas colubrorum,Monocercomonas colubrorum,culture,intestine environment (ENVO:2100002),animal-associated environment (ENVO:01001002),commensal,80427,Lacerta agilis,Czech Republic,"Morphological and molecular diversity of the monocercomonadid genera Monocercomonas, Hexamastix, and Honigbergiella gen. nov","Hampl,V., Cepicka,I., Flegr,J., Tachezy,J. and Kulda,J.","Protist 158 (3), 365-383 (2007)",Monocercomonas colubrorum,NA,NA,Lacerta agilis,NA,"Morphological and molecular diversity of the monocercomonadid genera Monocercomonas, Hexamastix, and Honigbergiella gen. nov","Hampl,V., Cepicka,I., Flegr,J., Tachezy,J. and Kulda,J.","Protist 158 (3), 365-383 (2007)"
DQ174301,Eukaryota,Excavata,Metamonada,Parabasalia,Tritrichomonadea,Tritrichomonadida,Monocercomonadidae,Monocercomonas,Monocercomonas colubrorum,Monocercomonas colubrorum,culture,intestine environment (ENVO:2100002),animal-associated environment (ENVO:01001002),commensal,NA,Chameleo montium,Czech Republic,"Morphological and molecular diversity of the monocercomonadid genera Monocercomonas, Hexamastix, and Honigbergiella gen. nov","Hampl,V., Cepicka,I., Flegr,J., Tachezy,J. and Kulda,J.","Protist 158 (3), 365-383 (2007)",Monocercomonas colubrorum,NA,NA,Chameleo montium,NA,"Morphological and molecular diversity of the monocercomonadid genera Monocercomonas, Hexamastix, and Honigbergiella gen. nov","Hampl,V., Cepicka,I., Flegr,J., Tachezy,J. and Kulda,J.","Protist 158 (3), 365-383 (2007)"
DQ174302,Eukaryota,Excavata,Metamonada,Parabasalia,Tritrichomonadea,Tritrichomonadida,Monocercomonadidae,Monocercomonas,Monocercomonas colubrorum,Monocercomonas colubrorum,culture,intestine environment (ENVO:2100002),animal-associated environment (ENVO:01001002),commensal,196474,Tropidophis melanurus,Czech Republic,"Morphological and molecular diversity of the monocercomonadid genera Monocercomonas, Hexamastix, and Honigbergiella gen. nov","Hampl,V., Cepicka,I., Flegr,J., Tachezy,J. and Kulda,J.","Protist 158 (3), 365-383 (2007)",Monocercomonas colubrorum,NA,NA,Trophidophis melanurus,NA,"Morphological and molecular diversity of the monocercomonadid genera Monocercomonas, Hexamastix, and Honigbergiella gen. nov","Hampl,V., Cepicka,I., Flegr,J., Tachezy,J. and Kulda,J.","Protist 158 (3), 365-383 (2007)"
DQ174303,Eukaryota,Excavata,Metamonada,Parabasalia,Tritrichomonadea,Tritrichomonadida,Monocercomonadidae,Monocercomonas,Monocercomonas colubrorum,Monocercomonas colubrorum,culture,intestine environment (ENVO:2100002),animal-associated environment (ENVO:01001002),commensal,NA,NA,Czech Republic,"Morphological and molecular diversity of the monocercomonadid genera Monocercomonas, Hexamastix, and Honigbergiella gen. nov","Hampl,V., Cepicka,I., Flegr,J., Tachezy,J. and Kulda,J.","Protist 158 (3), 365-383 (2007)",Monocercomonas colubrorum,NA,NA,NA,NA,"Morphological and molecular diversity of the monocercomonadid genera Monocercomonas, Hexamastix, and Honigbergiella gen. nov","Hampl,V., Cepicka,I., Flegr,J., Tachezy,J. and Kulda,J.","Protist 158 (3), 365-383 (2007)"
U17507,Eukaryota,Excavata,Metamonada,Parabasalia,Tritrichomonadea,Tritrichomonadida,Monocercomonadidae,Monocercomonas,Monocercomonas sp.,Monocercomonas sp.,culture,NA,animal-associated environment (ENVO:01001002),NA,8583,Natrix sipedon,Maryland: USA,Phylogeny of trichomonads inferred from small-subunit rRNA sequences,"Gunderson,J., Hinkle,G., Leipe,D., Morrison,H.G., Stickel,S.K., Odelson,D.A., Breznak,J.A., Nerad,T.A., Muller,M. and Sogin,M.L.","J. Eukaryot. Microbiol. 42 (4), 411-415 (1995)",Monocercomonas sp.,NA,NA,Natrix sipedon,NA,Phylogeny of trichomonads inferred from small-subunit rRNA sequences,"Gunderson,J., Hinkle,G., Leipe,D., Morrison,H.G., Stickel,S.K., Odelson,D.A., Breznak,J.A., Nerad,T.A., Muller,M. and Sogin,M.L.","J. Eukaryot. Microbiol. 42 (4), 411-415 (1995)"
HQ215840,Eukaryota,Excavata,Metamonada,Parabasalia,Tritrichomonadea,Tritrichomonadida,Neotermes castaneus Tritrichomonadida symbiont GHG-2010a,Neotermes castaneus Tritrichomonadida symbiont GHG-2010a,Neotermes castaneus Tritrichomonadida symbiont GHG-2010a,Neotermes castaneus parabasalian symbiont GHG-2010a,environmental,gut environment (ENVO missing),insecta-associated environment (ENVO missing),symbiont,223394,Neotermes castaneus,Florida: USA,"Molecular and morphological analysis of the family Calonymphidae with a description of Calonympha chia sp. nov., Snyderella kirbyi sp. nov., Snyderella swezyae sp. nov. and Snyderella yamini sp. nov","Gile,G.H., James,E.R., Scheffrahn,R.H., Carpenter,K.J., Harper,J.T. and Keeling,P.J.","Int. J. Syst. Evol. Microbiol. 61 (10), 2547-2558 (2011)",Neotermes castaneus symbiont GHG-2010a,NA,NA,NA,NA,"Molecular and morphological analysis of the family Calonymphidae with a description of Calonympha chia sp. nov., Snyderella kirbyi sp. nov., Snyderella swezyae sp. nov. and Snyderella yamini sp. nov","Gile,G.H., James,E.R., Scheffrahn,R.H., Carpenter,K.J., Harper,J.T. and Keeling,P.J.","Int. J. Syst. Evol. Microbiol. 61 (10), 2547-2558 (2011)"
AB183887,Eukaryota,Excavata,Metamonada,Parabasalia,Tritrichomonadea,Tritrichomonadida,Incisitermes minor Tritrichomonadida symbiont Im12,Incisitermes minor Tritrichomonadida symbiont Im12,Incisitermes minor Tritrichomonadida symbiont Im12,Incisitermes minor parabasalian symbiont Im12,environmental,gut environment (ENVO missing),insecta-associated environment (ENVO missing),symbiont,112481,Incisitermes minor,Japan: Okayama,"Molecular phylogeny of parabasalids inferred from small subunit rRNA sequences, with emphasis on the Hypermastigea","Ohkuma,M., Iida,T., Ohtoko,K., Yuzawa,H., Noda,S., Viscogliosi,E. and Kudo,T.","Mol. Phylogenet. Evol. 35 (3), 646-655 (2005)",uncultured parabasalid eukaryote,Im12,The gut microbial community of the termite Incisitermes minor,Incisitermes minor,NA,"Molecular phylogeny of parabasalids inferred from small subunit rRNA sequences, with emphasis on the Hypermastigea","Ohkuma,M., Iida,T., Ohtoko,K., Yuzawa,H., Noda,S., Viscogliosi,E. and Kudo,T.","Mol. Phylogenet. Evol. 35 (3), 646-655 (2005)"
AY055802,Eukaryota,Excavata,Metamonada,Parabasalia,Tritrichomonadea,Tritrichomonadida,Tritrichomonadidae,Tritrichomonas,Tritrichomonas augusta,Tritrichomonas augusta,culture,intestine environment (ENVO:2100002),animal-associated environment (ENVO:01001002),NA,8524,Zootoca vivipara ,Czech Republic,"Cattle pathogen tritrichomonas foetus (Riedmuller, 1928) and pig commensal Tritrichomonas suis (Gruby & Delafond, 1843) belong to the same species","Tachezy,J., Tachezy,R., Hampl,V., Sedinova,M., Vanacova,S., Vrlik,M., Van Ranst,M., Flegr,J. and Kuldaa,J.","J. Eukaryot. Microbiol. 49 (2), 154-163 (2002)",Tritrichomonas augusta,NA,NA,Lacerta vivipara,NA,"Cattle pathogen tritrichomonas foetus (Riedmuller, 1928) and pig commensal Tritrichomonas suis (Gruby & Delafond, 1843) belong to the same species","Tachezy,J., Tachezy,R., Hampl,V., Sedinova,M., Vanacova,S., Vrlik,M., Van Ranst,M., Flegr,J. and Kuldaa,J.","J. Eukaryot. Microbiol. 49 (2), 154-163 (2002)"
AF466749,Eukaryota,Excavata,Metamonada,Parabasalia,Tritrichomonadea,Tritrichomonadida,Tritrichomonadidae,Tritrichomonas,Tritrichomonas foetus,Tritrichomonas foetus,isolate,feces (ENVO:00002003),mammalia-associated environment (ENVO missing),parasite,9685,Felis catus,USA,Tritrichomonas foetus and not Pentatrichomonas hominis is the etiologic agent of feline trichomonal diarrhea,"Levy,M.G., Gookin,J.L., Poore,M., Birkenheuer,A.J., Dykstra,M.J. and Litaker,R.W.","J. Parasitol. 89 (1), 99-104 (2003)",Tritrichomonas foetus,NA,NA,cat,NA,Tritrichomonas foetus and not Pentatrichomonas hominis is the etiologic agent of feline trichomonal diarrhea,"Levy,M.G., Gookin,J.L., Poore,M., Birkenheuer,A.J., Dykstra,M.J. and Litaker,R.W.","J. Parasitol. 89 (1), 99-104 (2003)"
AF466750,Eukaryota,Excavata,Metamonada,Parabasalia,Tritrichomonadea,Tritrichomonadida,Tritrichomonadidae,Tritrichomonas,Tritrichomonas foetus,Tritrichomonas foetus,isolate,feces (ENVO:00002003),mammalia-associated environment (ENVO missing),parasite,9685,Felis catus,USA,Tritrichomonas foetus and not Pentatrichomonas hominis is the etiologic agent of feline trichomonal diarrhea,"Levy,M.G., Gookin,J.L., Poore,M., Birkenheuer,A.J., Dykstra,M.J. and Litaker,R.W.","J. Parasitol. 89 (1), 99-104 (2003)",Tritrichomonas foetus,NA,NA,cat,NA,Tritrichomonas foetus and not Pentatrichomonas hominis is the etiologic agent of feline trichomonal diarrhea,"Levy,M.G., Gookin,J.L., Poore,M., Birkenheuer,A.J., Dykstra,M.J. and Litaker,R.W.","J. Parasitol. 89 (1), 99-104 (2003)"
AF466751,Eukaryota,Excavata,Metamonada,Parabasalia,Tritrichomonadea,Tritrichomonadida,Tritrichomonadidae,Tritrichomonas,Tritrichomonas foetus,Tritrichomonas foetus,isolate,feces (ENVO:00002003),mammalia-associated environment (ENVO missing),parasite,9685,Felis catus,USA,Tritrichomonas foetus and not Pentatrichomonas hominis is the etiologic agent of feline trichomonal diarrhea,"Levy,M.G., Gookin,J.L., Poore,M., Birkenheuer,A.J., Dykstra,M.J. and Litaker,R.W.","J. Parasitol. 89 (1), 99-104 (2003)",Tritrichomonas foetus,NA,NA,cat,NA,Tritrichomonas foetus and not Pentatrichomonas hominis is the etiologic agent of feline trichomonal diarrhea,"Levy,M.G., Gookin,J.L., Poore,M., Birkenheuer,A.J., Dykstra,M.J. and Litaker,R.W.","J. Parasitol. 89 (1), 99-104 (2003)"
AY055799,Eukaryota,Excavata,Metamonada,Parabasalia,Tritrichomonadea,Tritrichomonadida,Tritrichomonadidae,Tritrichomonas,Tritrichomonas foetus,Tritrichomonas foetus,culture,penis (UBERON:0000989),mammalia-associated environment (ENVO missing),parasite,9915,Bos indicus,USA: Utah,"Cattle pathogen tritrichomonas foetus (Riedmuller, 1928) and pig commensal Tritrichomonas suis (Gruby & Delafond, 1843) belong to the same species","Tachezy,J., Tachezy,R., Hampl,V., Sedinova,M., Vanacova,S., Vrlik,M., Van Ranst,M., Flegr,J. and Kuldaa,J.","J. Eukaryot. Microbiol. 49 (2), 154-163 (2002)",Tritrichomonas foetus,NA,NA,Bos taurus,NA,"Cattle pathogen tritrichomonas foetus (Riedmuller, 1928) and pig commensal Tritrichomonas suis (Gruby & Delafond, 1843) belong to the same species","Tachezy,J., Tachezy,R., Hampl,V., Sedinova,M., Vanacova,S., Vrlik,M., Van Ranst,M., Flegr,J. and Kuldaa,J.","J. Eukaryot. Microbiol. 49 (2), 154-163 (2002)"
M81842,Eukaryota,Excavata,Metamonada,Parabasalia,Tritrichomonadea,Tritrichomonadida,Tritrichomonadidae,Tritrichomonas,Tritrichomonas foetus,Tritrichomonas foetus,culture,NA,NA,NA,NA,NA,NA,Characterization of the rDNA unit and sequence analysis of the small subunit rRNA and 5.8S rRNA genes from Tritrichomonas foetus,"Chakrabarti,D., Dame,J.B., Gutell,R.R. and Yowell,C.A.","Mol. Biochem. Parasitol. 52 (1), 75-83 (1992)",Tritrichomonas foetus,NA,NA,NA,NA,Characterization of the rDNA unit and sequence analysis of the small subunit rRNA and 5.8S rRNA genes from Tritrichomonas foetus,"Chakrabarti,D., Dame,J.B., Gutell,R.R. and Yowell,C.A.","Mol. Biochem. Parasitol. 52 (1), 75-83 (1992)"
U17509,Eukaryota,Excavata,Metamonada,Parabasalia,Tritrichomonadea,Tritrichomonadida,Tritrichomonadidae,Tritrichomonas,Tritrichomonas foetus,Tritrichomonas foetus,culture,NA,animal-associated environment (ENVO:01001002),parasite,9915,Bos indicus,Czech Republic,Phylogeny of trichomonads inferred from small-subunit rRNA sequences,"Gunderson,J., Hinkle,G., Leipe,D., Morrison,H.G., Stickel,S.K., Odelson,D.A., Breznak,J.A., Nerad,T.A., Muller,M. and Sogin,M.L.","J. Eukaryot. Microbiol. 42 (4), 411-415 (1995)",Tritrichomonas foetus,NA,NA,Bos taurus,NA,Phylogeny of trichomonads inferred from small-subunit rRNA sequences,"Gunderson,J., Hinkle,G., Leipe,D., Morrison,H.G., Stickel,S.K., Odelson,D.A., Breznak,J.A., Nerad,T.A., Muller,M. and Sogin,M.L.","J. Eukaryot. Microbiol. 42 (4), 411-415 (1995)"
AY055801,Eukaryota,Excavata,Metamonada,Parabasalia,Tritrichomonadea,Tritrichomonadida,Tritrichomonadidae,Tritrichomonas,Tritrichomonas mobilensis,Tritrichomonas mobilensis,culture,intestine environment (ENVO:2100002),mammalia-associated environment (ENVO missing),commensal,27679,Saimiri boliviensis,Bolivia,"Cattle pathogen tritrichomonas foetus (Riedmuller, 1928) and pig commensal Tritrichomonas suis (Gruby & Delafond, 1843) belong to the same species","Tachezy,J., Tachezy,R., Hampl,V., Sedinova,M., Vanacova,S., Vrlik,M., Van Ranst,M., Flegr,J. and Kuldaa,J.","J. Eukaryot. Microbiol. 49 (2), 154-163 (2002)",Tritrichomonas mobilensis,NA,NA,Saimiri boliviensis boliviensis,NA,"Cattle pathogen tritrichomonas foetus (Riedmuller, 1928) and pig commensal Tritrichomonas suis (Gruby & Delafond, 1843) belong to the same species","Tachezy,J., Tachezy,R., Hampl,V., Sedinova,M., Vanacova,S., Vrlik,M., Van Ranst,M., Flegr,J. and Kuldaa,J.","J. Eukaryot. Microbiol. 49 (2), 154-163 (2002)"
AY886846,Eukaryota,Excavata,Metamonada,Parabasalia,Tritrichomonadea,Tritrichomonadida,Tritrichomonadidae,Tritrichomonas,Tritrichomonas muris,Tritrichomonas muris,isolate,intestine environment (ENVO:2100002),mammalia-associated environment (ENVO missing),NA,54292,Apodemus flavicollis,Czech Republic,"New evolutionary lineages, unexpected diversity, and host specificity in the parabasalid genus Tetratrichomonas","Cepicka,I., Hampl,V., Kulda,J. and Flegr,J.","Mol. Phylogenet. Evol. 39 (2), 542-551 (2006)",Tritrichomonas muris,42741,NA,Apodemus flavicollis,NA,"New evolutionary lineages, unexpected diversity, and host specificity in the parabasalid genus Tetratrichomonas","Cepicka,I., Hampl,V., Kulda,J. and Flegr,J.","Mol. Phylogenet. Evol. 39 (2), 542-551 (2006)"
AY055803,Eukaryota,Excavata,Metamonada,Parabasalia,Tritrichomonadea,Tritrichomonadida,Tritrichomonadidae,Tritrichomonas,Tritrichomonas nonconforma,Tritrichomonas nonconforma,culture,intestine environment (ENVO:2100002),animal-associated environment (ENVO:01001002),NA,75249,Anolis bartschi,Cuba,"Cattle pathogen tritrichomonas foetus (Riedmuller, 1928) and pig commensal Tritrichomonas suis (Gruby & Delafond, 1843) belong to the same species","Tachezy,J., Tachezy,R., Hampl,V., Sedinova,M., Vanacova,S., Vrlik,M., Van Ranst,M., Flegr,J. and Kuldaa,J.","J. Eukaryot. Microbiol. 49 (2), 154-163 (2002)",Tritrichomonas nonconforma,NA,NA,Anolis bartschi,NA,"Cattle pathogen tritrichomonas foetus (Riedmuller, 1928) and pig commensal Tritrichomonas suis (Gruby & Delafond, 1843) belong to the same species","Tachezy,J., Tachezy,R., Hampl,V., Sedinova,M., Vanacova,S., Vrlik,M., Van Ranst,M., Flegr,J. and Kuldaa,J.","J. Eukaryot. Microbiol. 49 (2), 154-163 (2002)"
JF927156,Eukaryota,Excavata,Metamonada,Parabasalia,Tritrichomonadea,Tritrichomonadida,Tritrichomonadidae,Tritrichomonas,Tritrichomonas,Tritrichomonas sp. BR-2011,environmental,intestine environment (ENVO:2100002),animal-associated environment (ENVO:01001002),NA,9091,Coturnix coturnix,Austria,Identification of a putatively novel trichomonad species in the intestine of a common quail (Coturnix coturnix),"Mostegl,M.M., Richter,B., Nedorost,N., Maderner,A., Dinhopl,N., Kubber-Heiss,A. and Weissenbock,H.","Vet. Parasitol. 183 (3-4), 369-372 (2012)",Tritrichomonas sp. BR-2011,NA,intestine,Coturnix coturnix (quail),Austria,Identification of a putatively novel trichomonad species in the intestine of a common quail (Coturnix coturnix),"Mostegl,M.M., Richter,B., Nedorost,N., Maderner,A., Dinhopl,N., Kubber-Heiss,A. and Weissenbock,H.","Vet. Parasitol. 183 (3-4), 369-372 (2012)"
AY055800,Eukaryota,Excavata,Metamonada,Parabasalia,Tritrichomonadea,Tritrichomonadida,Tritrichomonadidae,Tritrichomonas,Tritrichomonas foetus,Tritrichomonas foetus,culture,intestine environment (ENVO:2100002),mammalia-associated environment (ENVO missing),commensal,9825,Sus scrofa domestica,Czech Republic,"Cattle pathogen tritrichomonas foetus (Riedmuller, 1928) and pig commensal Tritrichomonas suis (Gruby & Delafond, 1843) belong to the same species","Tachezy,J., Tachezy,R., Hampl,V., Sedinova,M., Vanacova,S., Vrlik,M., Van Ranst,M., Flegr,J. and Kuldaa,J.","J. Eukaryot. Microbiol. 49 (2), 154-163 (2002)",Tritrichomonas suis,NA,NA,Sus scrofa,NA,"Cattle pathogen tritrichomonas foetus (Riedmuller, 1928) and pig commensal Tritrichomonas suis (Gruby & Delafond, 1843) belong to the same species","Tachezy,J., Tachezy,R., Hampl,V., Sedinova,M., Vanacova,S., Vrlik,M., Van Ranst,M., Flegr,J. and Kuldaa,J.","J. Eukaryot. Microbiol. 49 (2), 154-163 (2002)"
